Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_na
0,1.0,0.0,0.748254731484404,0.0,0.0,0.028220722145058292,0.6666666666666666,1.0
0,1.0,0.0,0.748254731484404,0.0,0.0,0.014736618564782174,0.0,1.0
0,1.0,0.0,0.49061905999556854,0.5,0.16666666666666666,0.05684821399990475,0.3333333333333333,0.0
1,0.0,1.0,0.748254731484404,0.125,0.0,0.2859895551532101,0.6666666666666666,1.0
1,1.0,1.0,0.7878243777772886,0.0,0.3333333333333333,0.029757819776815374,0.6666666666666666,0.0
1,0.0,0.0,0.748254731484404,0.0,0.0,0.05953203526170282,0.0,1.0
1,0.0,1.0,0.8550660592465903,0.0,0.0,0.2995388511917728,0.0,0.0
1,0.0,1.0,0.801769242578651,0.0,0.3333333333333333,0.32179836714362564,0.0,0.0
1,0.0,0.0,0.7567904259244436,0.125,0.0,0.17777475888549785,0.6666666666666666,0.0
1,1.0,1.0,0.748254731484404,0.0,0.0,0.014110458666029575,0.6666666666666666,1.0
0,1.0,0.0,0.7649912996723136,0.125,0.0,0.015330377421392339,0.0,0.0
1,0.5,1.0,0.8550660592465903,0.0,0.0,0.025374310111545468,0.0,0.0
0,1.0,0.0,0.748254731484404,0.0,0.0,0.015126992566498259,0.3333333333333333,1.0
1,0.5,1.0,0.49061905999556854,0.0,0.3333333333333333,0.05123658772523604,0.0,0.0
1,0.0,1.0,0.748254731484404,0.0,0.0,0.16231419173453318,0.6666666666666666,0.0
0,1.0,1.0,0.6355530007489782,0.0,0.0,0.015330377421392339,0.0,0.0
0,1.0,0.0,0.7393557085818239,0.0,0.0,0.01800600082915438,0.0,0.0
0,0.5,0.0,0.6994069226064903,0.125,0.16666666666666666,0.07173122281533045,0.0,0.0
0,1.0,0.0,0.827145248933651,0.0,0.0,0.015712553569072387,0.0,0.0
1,1.0,0.0,-0.09765239745811012,0.0,0.16666666666666666,0.016623491302076868,0.6666666666666666,0.0
0,0.5,0.0,0.6881017111534806,0.0,0.0,0.022446505098674838,0.0,0.0
1,0.0,1.0,0.7300610460577387,0.0,0.0,0.29580589980036276,0.0,0.0
0,1.0,0.0,0.748254731484404,0.0,0.0,0.015102594191391004,0.3333333333333333,1.0
0,0.0,0.0,0.748254731484404,0.0,0.0,0.060507970265993034,0.0,1.0
0,1.0,1.0,0.7300610460577387,0.0,0.0,0.019201521209409888,0.0,0.0
1,0.0,1.0,0.8550660592465903,0.125,0.16666666666666666,0.2625265161540666,0.6666666666666666,0.0
0,1.0,0.0,0.8084077518153272,0.0,0.0,0.015411575213749286,0.0,0.0
1,1.0,1.0,0.7300610460577387,0.0,0.0,0.015126992566498259,0.0,0.0
1,0.5,1.0,0.7567904259244436,0.0,0.16666666666666666,0.050748620223090936,0.0,0.0
0,1.0,1.0,0.22867198880168826,0.375,0.3333333333333333,0.05445717323939373,0.0,0.0
0,1.0,0.0,0.8148419664802251,0.0,0.0,0.016908073949327893,0.6666666666666666,0.0
1,0.5,1.0,0.9017243666778533,0.0,0.0,0.020494635090094415,0.0,0.0
0,1.0,0.0,0.780486941502388,0.0,0.0,0.018542765081513996,0.0,0.0
1,0.0,0.0,0.748254731484404,0.0,0.0,0.06929138530460494,0.0,1.0
0,1.0,0.0,0.7878243777772886,0.125,0.0,0.013752485706455927,0.0,0.0
1,0.0,0.0,0.8084077518153272,0.0,0.0,0.05953203526170282,0.6666666666666666,0.0
0,1.0,0.0,0.8701879825185879,0.0,0.0,0.012589561555343713,0.0,0.0
0,0.5,0.0,0.780486941502388,0.0,0.0,0.020494635090094415,0.0,0.0
0,0.5,0.0,0.7567904259244436,0.0,0.0,0.025374310111545468,0.0,0.0
0,0.5,0.0,0.9178165723293769,0.0,0.0,0.027326180120125887,0.0,0.0
1,0.0,0.0,0.9398469796690767,0.125,0.16666666666666666,0.15458810467956932,0.6666666666666666,0.0
0,1.0,0.0,0.7567904259244436,0.0,0.0,0.014102260811993537,0.6666666666666666,0.0
0,1.0,0.0,0.748254731484404,0.0,0.0,0.028302115124416098,0.0,1.0
0,1.0,0.0,0.6355530007489782,0.5,0.16666666666666666,0.07746484096553544,0.0,0.0
1,0.0,1.0,0.827145248933651,0.125,0.0,0.16293234896625058,0.0,0.0
0,1.0,0.0,0.748254731484404,0.0,0.0,0.015411575213749286,0.0,1.0
0,1.0,0.0,0.748254731484404,0.0,0.0,0.015411575213749286,0.0,1.0
1,0.0,1.0,0.6881017111534806,0.25,0.3333333333333333,0.5121218935012878,0.6666666666666666,0.0
0,0.5,0.0,0.8497722200948,0.0,0.0,0.025374310111545468,0.0,0.0
0,0.0,0.0,0.9099252404257233,0.125,0.16666666666666666,0.1554664461834305,0.0,0.0
1,0.0,0.0,0.748254731484404,0.0,0.0,0.05855610025741262,0.0,1.0
1,0.0,0.0,0.7393557085818239,0.0,0.16666666666666666,0.12366716556464086,0.6666666666666666,0.0
1,0.5,1.0,0.373605929555098,0.125,0.16666666666666666,0.044893010197349675,0.0,0.0
0,1.0,0.0,0.6994069226064903,0.0,0.0,0.015411575213749286,0.0,0.0
